Propriétaire;Groupe;Modèle;Matériel;Compteur total;Année;Mois;Heure du mois;Unité
GKTSA;Large dozers;D9;ED508;38225;2013;1;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;2;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;3;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;4;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;5;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;6;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;7;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;8;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;9;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;10;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;11;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2013;12;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;1;443;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;2;275;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;3;354;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;4;62;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;5;266;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;6;292;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;7;376;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;8;484;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;9;267;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;10;424;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;11;333;HUR
GKTSA;Large dozers;D9;ED508;38225;2014;12;364;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;1;386;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;2;330;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;3;327;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;4;328;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;5;393;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;6;385;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;7;426;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;8;417;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;9;393;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;10;390;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;11;464;HUR
GKTSA;Large dozers;D9;ED508;38225;2015;12;424;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;1;367;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;2;433;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;3;92;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;4;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;5;222;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;6;376;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;7;376;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;8;412;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;9;397;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;10;275;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;11;356;HUR
GKTSA;Large dozers;D9;ED508;38225;2016;12;436;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;1;477;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;2;285;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;3;372;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;4;371;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;5;255;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;6;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;7;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;8;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;9;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;10;175;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;11;450;HUR
GKTSA;Large dozers;D9;ED508;38225;2017;12;463;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;1;357;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;2;431;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;3;495;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;4;396;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;5;338;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;6;260;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;7;513;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;8;430;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;9;352;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;10;206;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;11;171;HUR
GKTSA;Large dozers;D9;ED508;38225;2018;12;174;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;1;334;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;2;280;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;3;431;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;4;239;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;5;373;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;6;422;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;7;419;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;8;330;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;9;140;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;10;333;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;11;344;HUR
GKTSA;Large dozers;D9;ED508;38225;2019;12;455;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;1;426;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;2;294;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;3;362;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;4;333;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;5;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;6;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;7;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;8;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;9;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;10;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;11;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2020;12;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;1;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;2;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;3;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;4;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;5;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;6;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;7;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;8;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;9;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;10;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;11;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2021;12;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;1;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;2;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;3;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;4;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;5;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;6;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;7;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;8;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;9;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;10;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;11;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2022;12;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;1;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;2;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;3;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;4;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;5;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;6;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;7;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;8;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;9;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;10;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;11;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2023;12;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;1;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;2;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;3;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;4;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;5;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;6;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;7;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;8;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;9;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;10;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;11;0;HUR
GKTSA;Large dozers;D9;ED508;38225;2024;12;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;1;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;2;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;3;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;4;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;5;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;6;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;7;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;8;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;9;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;10;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;11;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2013;12;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;1;544;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;2;362;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;3;384;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;4;370;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;5;433;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;6;316;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;7;377;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;8;380;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;9;415;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;10;405;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;11;415;HUR
GKTSA;Large dozers;D9;ED509;34064;2014;12;198;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;1;260;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;2;334;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;3;362;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;4;363;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;5;389;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;6;439;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;7;398;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;8;364;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;9;22;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;10;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;11;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2015;12;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;1;139;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;2;445;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;3;472;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;4;479;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;5;499;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;6;437;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;7;411;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;8;435;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;9;345;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;10;381;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;11;429;HUR
GKTSA;Large dozers;D9;ED509;34064;2016;12;331;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;1;406;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;2;241;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;3;524;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;4;347;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;5;479;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;6;359;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;7;507;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;8;483;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;9;348;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;10;382;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;11;449;HUR
GKTSA;Large dozers;D9;ED509;34064;2017;12;424;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;1;288;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;2;449;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;3;446;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;4;421;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;5;456;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;6;226;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;7;128;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;8;434;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;9;388;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;10;448;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;11;307;HUR
GKTSA;Large dozers;D9;ED509;34064;2018;12;295;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;1;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;2;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;3;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;4;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;5;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;6;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;7;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;8;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;9;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;10;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;11;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2019;12;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;1;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;2;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;3;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;4;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;5;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;6;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;7;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;8;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;9;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;10;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;11;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2020;12;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;1;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;2;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;3;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;4;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;5;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;6;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;7;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;8;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;9;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;10;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;11;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2021;12;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;1;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;2;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;3;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;4;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;5;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;6;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;7;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;8;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;9;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;10;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;11;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2022;12;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2023;1;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2023;2;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2023;3;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2023;4;0;HUR
GKTSA;Large dozers;D9;ED509;34064;2023;5;0;HUR
