Propriétaire;Groupe;Modèle;Matériel;Compteur total;Année;Mois;Heure du mois;Unité
KGM;Large dozers;D9;ED515;40070;2018;1;20;HUR
KGM;Large dozers;D9;ED515;40070;2018;2;0;HUR
KGM;Large dozers;D9;ED515;40070;2018;3;282;HUR
KGM;Large dozers;D9;ED515;40070;2018;4;531;HUR
KGM;Large dozers;D9;ED515;40070;2018;5;402;HUR
KGM;Large dozers;D9;ED515;40070;2018;6;451;HUR
KGM;Large dozers;D9;ED515;40070;2018;7;190;HUR
KGM;Large dozers;D9;ED515;40070;2018;8;564;HUR
KGM;Large dozers;D9;ED515;40070;2018;9;483;HUR
KGM;Large dozers;D9;ED515;40070;2018;10;490;HUR
KGM;Large dozers;D9;ED515;40070;2018;11;303;HUR
KGM;Large dozers;D9;ED515;40070;2018;12;171;HUR
KGM;Large dozers;D9;ED515;40070;2019;1;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;2;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;3;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;4;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;5;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;6;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;7;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;8;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;9;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;10;0;HUR
KGM;Large dozers;D9;ED515;40070;2019;11;231;HUR
KGM;Large dozers;D9;ED515;40070;2019;12;540;HUR
KGM;Large dozers;D9;ED515;40070;2020;1;546;HUR
KGM;Large dozers;D9;ED515;40070;2020;2;219;HUR
KGM;Large dozers;D9;ED515;40070;2020;3;398;HUR
KGM;Large dozers;D9;ED515;40070;2020;4;540;HUR
KGM;Large dozers;D9;ED515;40070;2020;5;224;HUR
KGM;Large dozers;D9;ED515;40070;2020;6;427;HUR
KGM;Large dozers;D9;ED515;40070;2020;7;566;HUR
KGM;Large dozers;D9;ED515;40070;2020;8;509;HUR
KGM;Large dozers;D9;ED515;40070;2020;9;361;HUR
KGM;Large dozers;D9;ED515;40070;2020;10;497;HUR
KGM;Large dozers;D9;ED515;40070;2020;11;371;HUR
KGM;Large dozers;D9;ED515;40070;2020;12;407;HUR
KGM;Large dozers;D9;ED515;40070;2021;1;239;HUR
KGM;Large dozers;D9;ED515;40070;2021;2;274;HUR
KGM;Large dozers;D9;ED515;40070;2021;3;106;HUR
KGM;Large dozers;D9;ED515;40070;2021;4;292;HUR
KGM;Large dozers;D9;ED515;40070;2021;5;213;HUR
KGM;Large dozers;D9;ED515;40070;2021;6;421;HUR
KGM;Large dozers;D9;ED515;40070;2021;7;277;HUR
KGM;Large dozers;D9;ED515;40070;2021;8;382;HUR
KGM;Large dozers;D9;ED515;40070;2021;9;365;HUR
KGM;Large dozers;D9;ED515;40070;2021;10;236;HUR
KGM;Large dozers;D9;ED515;40070;2021;11;383;HUR
KGM;Large dozers;D9;ED515;40070;2021;12;283;HUR
KGM;Large dozers;D9;ED515;40070;2022;1;353;HUR
KGM;Large dozers;D9;ED515;40070;2022;2;224;HUR
KGM;Large dozers;D9;ED515;40070;2022;3;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;4;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;5;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;6;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;7;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;8;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;9;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;10;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;11;0;HUR
KGM;Large dozers;D9;ED515;40070;2022;12;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;1;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;2;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;3;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;4;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;5;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;6;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;7;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;8;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;9;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;10;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;11;0;HUR
KGM;Large dozers;D9;ED515;40070;2023;12;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;1;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;2;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;3;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;4;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;5;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;6;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;7;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;8;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;9;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;10;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;11;0;HUR
KGM;Large dozers;D9;ED515;40070;2024;12;0;HUR
KGM;Large dozers;D9;ED516;37189;2018;1;545;HUR
KGM;Large dozers;D9;ED516;37189;2018;2;127;HUR
KGM;Large dozers;D9;ED516;37189;2018;3;177;HUR
KGM;Large dozers;D9;ED516;37189;2018;4;196;HUR
KGM;Large dozers;D9;ED516;37189;2018;5;483;HUR
KGM;Large dozers;D9;ED516;37189;2018;6;542;HUR
KGM;Large dozers;D9;ED516;37189;2018;7;551;HUR
KGM;Large dozers;D9;ED516;37189;2018;8;111;HUR
KGM;Large dozers;D9;ED516;37189;2018;9;0;HUR
KGM;Large dozers;D9;ED516;37189;2018;10;0;HUR
KGM;Large dozers;D9;ED516;37189;2018;11;84;HUR
KGM;Large dozers;D9;ED516;37189;2018;12;641;HUR
KGM;Large dozers;D9;ED516;37189;2019;1;608;HUR
KGM;Large dozers;D9;ED516;37189;2019;2;488;HUR
KGM;Large dozers;D9;ED516;37189;2019;3;435;HUR
KGM;Large dozers;D9;ED516;37189;2019;4;490;HUR
KGM;Large dozers;D9;ED516;37189;2019;5;415;HUR
KGM;Large dozers;D9;ED516;37189;2019;6;529;HUR
KGM;Large dozers;D9;ED516;37189;2019;7;436;HUR
KGM;Large dozers;D9;ED516;37189;2019;8;400;HUR
KGM;Large dozers;D9;ED516;37189;2019;9;405;HUR
KGM;Large dozers;D9;ED516;37189;2019;10;486;HUR
KGM;Large dozers;D9;ED516;37189;2019;11;320;HUR
KGM;Large dozers;D9;ED516;37189;2019;12;0;HUR
KGM;Large dozers;D9;ED516;37189;2020;1;438;HUR
KGM;Large dozers;D9;ED516;37189;2020;2;432;HUR
KGM;Large dozers;D9;ED516;37189;2020;3;475;HUR
KGM;Large dozers;D9;ED516;37189;2020;4;400;HUR
KGM;Large dozers;D9;ED516;37189;2020;5;489;HUR
KGM;Large dozers;D9;ED516;37189;2020;6;524;HUR
KGM;Large dozers;D9;ED516;37189;2020;7;204;HUR
KGM;Large dozers;D9;ED516;37189;2020;8;363;HUR
KGM;Large dozers;D9;ED516;37189;2020;9;396;HUR
KGM;Large dozers;D9;ED516;37189;2020;10;174;HUR
KGM;Large dozers;D9;ED516;37189;2020;11;322;HUR
KGM;Large dozers;D9;ED516;37189;2020;12;344;HUR
