N° de transaction;Bon de sortie;Type de transaction;Date de sortie;Code article;Description de l'article;Famille d'article;CAv de l'article;Code analytique;Famille de machine;Type d'organe principal;Quantité sortie;Unité ;PUMP de l'article;Montant total en devise de base;Devise de base;Montant total en devise du magasin;Devise du magasin;Magasin source;Casier source;CIS du magasin source;Direction du magasin source;Magasin destinataire;CIS du magasin destinataire;Direction du magasin destinataire;N° d'OT destinataire;Description de l'OT;Demandeur de la pièce;Chantier de l'OT;Parc de l'OT ;CIS de l'OT;Statut OT;RO Number OT;Date debut OT;Date achèvement OT;Origine Composant;Direction de l'OT ;Composant;Equipement de l'OT;Type de l'OT;Sous-classe;Famille ;Département ;Propriété ;Organisation du magasin source;Commentaire
28597;28565;Retour d'article;28/08/2014;CA1R0735;ÉLÉMENT DE FILTRE À HUILE EF / FILTER ELEMENT;CA;602237;011;ED00;;-4;U;15625,04;-62500,15;XOF;-128,31;USD;M1-D;PS8;P20077;MINES;M1-D;;;13749;82 CL507 RO2179 ROTATION UNIT;O.KEITA;P20080;PARCMIN-RAL1;000140;Clôturé-;;01/06/2014;31/07/2014;;MINES;;CL507;R1;CL;CL06;PRODUCTION;GKTSA;GEO-MINES;
28597;28565;Retour d'article;28/08/2014;CA1R0749;FILTRE A CARBURANT HAUTE EFF / FILTER-FUEL HI;CA;602237;011;ED00;;-2;U;9028,98;-18057,97;XOF;-37,07;USD;M1-D;PS7;P20077;MINES;M1-D;;;13749;82 CL507 RO2179 ROTATION UNIT;O.KEITA;P20080;PARCMIN-RAL1;000140;Clôturé-;;01/06/2014;31/07/2014;;MINES;;CL507;R1;CL;CL06;PRODUCTION;GKTSA;GEO-MINES;
29649;004956;Retour d'article;10/09/2014;CA8T4224;RONDELLE DURE / WASHER-HARD : 8.8X16X2-MM THK;CA;602237;013;ED00;;-12;U;112,02;-1344,25;XOF;-2,76;USD;MB-D;DISPATCHE;P20077;MINES;MB-D;;;14342;21 JM524 RO2182 TRANSMISSION;H.JOSE;P20080;PARCMIN-RAL1;000140;Clôturé-;;14/11/2014;14/11/2014;;MINES;;JM524;R1;JM;JM00;PRODUCTION;RAL;GEO-MINES;
28597;28565;Retour d'article;28/08/2014;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATE;CA;602237;011;ED00;;-2;U;15477,37;-30954,74;XOF;-63,55;USD;M1-D;PS8;P20077;MINES;M1-D;;;13749;82 CL507 RO2179 ROTATION UNIT;O.KEITA;P20080;PARCMIN-RAL1;000140;Clôturé-;;01/06/2014;31/07/2014;;MINES;;CL507;R1;CL;CL06;PRODUCTION;GKTSA;GEO-MINES;
19384;001229;Retour d'article;14/04/2014;CA1R1808;FILTRE A HUILE MOTEUR / FILTER-ENGINE OIL ADV;CA;602237;011;ED00;;-2;U;15889,93;-31779,87;XOF;-65,24;USD;M1-D;PS6;P20077;MINES;M1-D;;;14677;MAINTENANCE 1000H GOD HL6M annulé;N.SOW;P20080;PARCMIN-GMS;000140;Clôturé-;;15/04/2014;15/04/2014;;MINES;;AC020;E1;AC;AC05;AUXILIAIRE;GKTSA;GEO-MINES;
32547;000317;Retour d'article;21/10/2014;CA8E4539;COIN DE LAME DROIT / END BIT RIGHT;CA;602237;012;ED00;;-2;U;221791,79;-443583,57;XOF;-676,02;EUR;M1-E;PARCD9R;P20077;MINES;M1-E;;;15976;OT permanent : Transfert PDR vers Morila (Ex CR557);K.TASIOULAS;P20080;;000140;Ouvert-;;;;;MINES;;ATCH-000144;STE1;;;*;;GEO-MINES;
20133;02493;Retour d'article;24/04/2014;CA5P1076;RONDELLE DURE 13,5 x 30 x 4  / WASHER-HARD 13.5X30X4MM THK;CA;602237;016;ED00;;-2;U;416,52;-833,03;XOF;-1,71;USD;M1-D;14D4;P20077;MINES;M1-D;;;CL5052014STR2P20080;OT permanent : machine CL505 sur chantier P20080;N.SOW;P20080;PARCMIN-RAL1;000140;Clôturé-;;;07/06/2021;;MINES;;CL505;STR2;CL;CL08;PRODUCTION;GKTSA;GEO-MINES;
20135;02493;Retour d'article;24/04/2014;CA5P1076;RONDELLE DURE 13,5 x 30 x 4  / WASHER-HARD 13.5X30X4MM THK;CA;602237;016;ED00;;-6;U;519;-3114;XOF;-4,75;EUR;M1-E;14D4;P20077;MINES;M1-E;;;CL5052014STR2P20080;OT permanent : machine CL505 sur chantier P20080;N.SOW;P20080;PARCMIN-RAL1;000140;Clôturé-;;;07/06/2021;;MINES;;CL505;STR2;CL;CL08;PRODUCTION;GKTSA;GEO-MINES;
21248;004516;Retour d'article;12/05/2014;CA1R1808;FILTRE A HUILE MOTEUR / FILTER-ENGINE OIL ADV;CA;602237;011;ED00;;-1;U;15889,93;-15889,93;XOF;-32,62;USD;M1-D;PS6;P20077;MINES;M1-D;;;AC0492014STR2P20080;OT permanent : machine AC049 sur chantier P20080;Y.DIARRA ;P20080;PARCMIN-GMS;000140;Ouvert-;;;;;MINES;;AC049;STR2;AC;AC05;AUXILIAIRE;GKTSA;GEO-MINES;
20151;004133;Retour d'article;24/04/2014;CA5P1076;RONDELLE DURE 13,5 x 30 x 4  / WASHER-HARD 13.5X30X4MM THK;CA;602237;016;ED00;;-6;U;519;-3114;XOF;-4,75;EUR;M1-E;14D4;P20077;MINES;M1-E;;;DK5232014STR2P20080;OT permanent : machine DK523 sur chantier P20080;O.KEITA;P20080;PARCMIN-RAL1;000140;Ouvert-;;;;;MINES;;DK523;STR2;DK;DK03;PRODUCTION;GKTSA;GEO-MINES;
