N° de transaction;Bon de sortie;Type de transaction;Date de sortie;Code article;Description de l'article;Famille d'article;CAv de l'article;Code analytique;Famille de machine;Type d'organe principal;Quantité sortie;Unité ;PUMP de l'article;Montant total en devise de base;Devise de base;Montant total en devise du magasin;Devise du magasin;Magasin source;Casier source;CIS du magasin source;Direction du magasin source;Magasin destinataire;CIS du magasin destinataire;Direction du magasin destinataire;N° d'OT destinataire;Description de l'OT;Demandeur de la pièce;Chantier de l'OT;Parc de l'OT ;CIS de l'OT;Statut OT;RO Number OT;Date debut OT;Date achèvement OT;Origine Composant;Direction de l'OT ;Composant;Equipement de l'OT;Type de l'OT;Sous-classe;Famille ;Département ;Propriété ;Organisation du magasin source;Commentaire
13755;BSM998.4999;Sortie d'article;16/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;12693;MAINTENANCE 2000H CAT 773;C.NTUMBA;P20083;PARCMIN-KAS;000140;Clôturé-;;30/12/2013;30/12/2013;;MINES;;JT504;E1;JT;JT00;AUXILIAIRE;KAS;GEO-MINES;
13788;BSM5107;Sortie d'article;18/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;12693;MAINTENANCE 2000H CAT 773;L.KABANGU;P20083;PARCMIN-KAS;000140;Clôturé-;;30/12/2013;30/12/2013;;MINES;;JT504;E1;JT;JT00;AUXILIAIRE;KAS;GEO-MINES;
14003;BSM5203;Sortie d'article;28/10/2013;CA1491912;ELEMENT DE FILTRE A AIR CHAU / FILTER ELEMENT-CAB AIR  CAB;CA;602237;011;ED00;;2;U;39,9;79,79;USD;79,79;USD;M1-D;C43E3DR1;300021;MINES;;;;21498;OT permanent : machine DJ504 sur chantier P20083;I.BASIKABA;P20083;PARCMIN-KAS;000140;Clôturé-;;;06/10/2022;;MINES;;DJ504;STE1;DJ;DJ20;PRODUCTION;KGM;GEO-MINES;
13384;BSM4530;Sortie d'article;01/10/2013;CA1327166;ÉLÉMENT DE FILTRE À AIR PRIM / FILTER ELEMENT AS-AIR PRIMAR;CA;602237;011;ED00;;1;U;98,29;98,29;USD;98,29;USD;M1-D;C48GPN4;300021;MINES;;;;21504;OT permanent : machine ED515 sur chantier P20083;C.NTUMBA;P20083;PARCMIN-KAS;000140;Clôturé-;;;22/03/2022;;MINES;;ED515;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
13499;BSM4838;Sortie d'article;04/10/2013;CA1327166;ÉLÉMENT DE FILTRE À AIR PRIM / FILTER ELEMENT AS-AIR PRIMAR;CA;602237;011;ED00;;1;U;98,29;98,29;USD;98,29;USD;M1-D;C48GPN4;300021;MINES;;;;21504;OT permanent : machine ED515 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Clôturé-;;;22/03/2022;;MINES;;ED515;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14044;BSM5258;Sortie d'article;31/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;2;U;35,49;70,98;USD;70,98;USD;M1-D;C15GPL;300021;MINES;;;;21504;OT permanent : machine ED515 sur chantier P20083;C.NTUMBA;P20083;PARCMIN-KAS;000140;Clôturé-;;;22/03/2022;;MINES;;ED515;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
13498;BSM4838;Sortie d'article;04/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21504;OT permanent : machine ED515 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Clôturé-;;;22/03/2022;;MINES;;ED515;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
13351;BSM4504;Sortie d'article;01/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21504;OT permanent : machine ED515 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Clôturé-;;;22/03/2022;;MINES;;ED515;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14742;BSM 5821;Sortie d'article;03/12/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21504;OT permanent : machine ED515 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Clôturé-;;;22/03/2022;;MINES;;ED515;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14362;BSM5604;Sortie d'article;16/11/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21504;OT permanent : machine ED515 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Clôturé-;;;22/03/2022;;MINES;;ED515;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14686;BSM5808;Sortie d'article;02/12/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21505;OT permanent : machine ED516 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED516;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14276;BSM2944;Sortie d'article;13/11/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21505;OT permanent : machine ED516 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED516;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14013;BSM5253;Sortie d'article;30/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21505;OT permanent : machine ED516 sur chantier P20083;L.KABANGU;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED516;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
13482;BSM4824;Sortie d'article;04/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21505;OT permanent : machine ED516 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED516;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14979;BSM6029;Sortie d'article;14/12/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21505;OT permanent : machine ED516 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED516;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
13913;BSM5127;Sortie d'article;23/10/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21505;OT permanent : machine ED516 sur chantier P20083;L.KABANGU;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED516;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
15090;BSM6118;Sortie d'article;21/12/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21506;OT permanent : machine ED517 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED517;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
14745;BSM 5826;Sortie d'article;03/12/2013;CA3261642;FILTRE SEPARATEUR EAU & CARB / FILTER AS-WATER SEP & FUEL;CA;602237;011;ED00;;1;U;35,49;35,49;USD;35,49;USD;M1-D;C15GPL;300021;MINES;;;;21506;OT permanent : machine ED517 sur chantier P20083;G.MUSAMPA;P20083;PARCMIN-KAS;000140;Ouvert-;;;;;MINES;;ED517;STE1;ED;ED00;PRODUCTION;KGM;GEO-MINES;
