N° de transaction;Bon de sortie;Type de transaction;Date de sortie;Code article;Description de l'article;Famille d'article;CAv de l'article;Code analytique;Famille de machine;Type d'organe principal;Quantité sortie;Unité ;PUMP de l'article;Montant total en devise de base;Devise de base;Montant total en devise du magasin;Devise du magasin;Magasin source;Casier source;CIS du magasin source;Direction du magasin source;Magasin destinataire;CIS du magasin destinataire;Direction du magasin destinataire;N° d'OT destinataire;Description de l'OT;Demandeur de la pièce;Chantier de l'OT;Parc de l'OT ;CIS de l'OT;Statut OT;RO Number OT;Date debut OT;Date achèvement OT;Origine Composant;Direction de l'OT ;Composant;Equipement de l'OT;Type de l'OT;Sous-classe;Famille ;Département ;Propriété ;Organisation du magasin source;Commentaire
218493;BSM0180078;Retour d'article;30/03/2021;CA1R0722;ÉLÉMENT DE FILTRE À HUILEEFF / FILTER ELEMENT;CA;602237;011;ED00;E1-Service;-9;U;20334,67;-183012,06;XOF;-278,91;EUR;M1-E;1.G.2.4;300032;MINES;M1-E;;;114032;SORTIE DE STOCK E1 ENTRETIEN ED522;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;28/10/2016;29/03/2024;;MINES;;ED522;STE1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA1654854;JOINT TORIQUE / SEAL-O-RING;CA;602237;013;ED00;;-2;U;5757;-11514;XOF;-11514;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA1531157;JOINT TORIQUE / SEAL-O-RING;CA;602237;013;ED00;;-1;U;12262;-12262;XOF;-12262;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA1654852;JOINT TORIQUE / SEAL O RING;CA;602237;013;ED00;;-2;U;22747;-45494;XOF;-45494;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA1481928;CLAPET DE DECHARGE ADMISSION / VALVE-RELIEF  TORQUE CONVERT;CA;602237;013;ED00;;-1;U;52997;-52997;XOF;-52997;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA1408899;BEARING KIT TORQUE;CA;602237;013;ED00;;-1;U;1219151;-1219151;XOF;-1219151;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA1419497;JOINT RECTANGULAIRE / SEAL-RECTANGULAR;CA;602237;013;ED00;;-2;U;6233;-12466;XOF;-12466;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA1178806;ANNEAU / RING;CA;602237;013;ED00;;-1;U;6670;-6670;XOF;-6670;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA0336042;O RING;CA;602237;013;ED00;20-Torque convertor;-5;U;2835;-14175;XOF;-14175;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA5K1770;JOINT TORIQUE / SEAL-O-RING;CA;602237;013;ED00;E1-Service;-2;U;6252;-12504;XOF;-12504;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA4N3808;AXE / PIN;CA;602237;013;ED00;;-1;U;233;-233;XOF;-233;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA4M8910;BAGUE DE RETENUE / RING-RETAINING;CA;602237;013;ED00;;-1;U;8670;-8670;XOF;-8670;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA6F0711;JOINT TORIQUE / SEAL-O-RING;CA;602237;013;ED00;;-2;U;1641;-3282;XOF;-3282;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA6E4343;SOUPAPE ou VALVE ou CLAPET / VALVE;CA;602237;013;ED00;;-1;U;61541;-61541;XOF;-61541;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA5P9658;JOINT TORIQUE / SEAL O RING;CA;602237;013;ED00;;-1;U;4155;-4155;XOF;-4155;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
273105;BSM0214308;Retour d'article;24/10/2022;CA5P5297;RING;CA;602237;013;ED00;;-1;U;16523;-16523;XOF;-16523;XOF;MT-F;39678L;300032;MINES;MT-F;;;161829;20 ED521 RO202248 TORQUE CONVERTOR;S.BAKAYOKO;P20071;PARCMIN-RAL1;000140;Clôturé-;RO202248;;25/11/2022;;MINES;;ED521;R1;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
