Propriétaire;Groupe;Modèle;Matériel;Compteur total;Année;Mois;Heure du mois;Unité
KGM;Large dozers;D9;ED515;40070;2012;1;0;HUR
KGM;Large dozers;D9;ED515;40070;2012;2;0;HUR
KGM;Large dozers;D9;ED515;40070;2012;3;0;HUR
KGM;Large dozers;D9;ED515;40070;2012;4;0;HUR
KGM;Large dozers;D9;ED515;40070;2012;5;0;HUR
KGM;Large dozers;D9;ED515;40070;2012;6;0;HUR
KGM;Large dozers;D9;ED515;40070;2012;7;106;HUR
KGM;Large dozers;D9;ED515;40070;2012;8;133;HUR
KGM;Large dozers;D9;ED515;40070;2012;9;186;HUR
KGM;Large dozers;D9;ED515;40070;2012;10;337;HUR
KGM;Large dozers;D9;ED515;40070;2012;11;357;HUR
KGM;Large dozers;D9;ED515;40070;2012;12;458;HUR
KGM;Large dozers;D9;ED515;40070;2013;1;538;HUR
KGM;Large dozers;D9;ED515;40070;2013;2;509;HUR
KGM;Large dozers;D9;ED515;40070;2013;3;445;HUR
KGM;Large dozers;D9;ED515;40070;2013;4;464;HUR
KGM;Large dozers;D9;ED515;40070;2013;5;482;HUR
KGM;Large dozers;D9;ED515;40070;2013;6;571;HUR
KGM;Large dozers;D9;ED515;40070;2013;7;364;HUR
KGM;Large dozers;D9;ED515;40070;2013;8;419;HUR
KGM;Large dozers;D9;ED515;40070;2013;9;575;HUR
KGM;Large dozers;D9;ED515;40070;2013;10;573;HUR
KGM;Large dozers;D9;ED515;40070;2013;11;451;HUR
KGM;Large dozers;D9;ED515;40070;2013;12;495;HUR
KGM;Large dozers;D9;ED515;40070;2014;1;569;HUR
KGM;Large dozers;D9;ED515;40070;2014;2;499;HUR
KGM;Large dozers;D9;ED515;40070;2014;3;542;HUR
KGM;Large dozers;D9;ED515;40070;2014;4;404;HUR
KGM;Large dozers;D9;ED515;40070;2014;5;0;HUR
KGM;Large dozers;D9;ED515;40070;2014;6;156;HUR
KGM;Large dozers;D9;ED515;40070;2014;7;534;HUR
KGM;Large dozers;D9;ED515;40070;2014;8;588;HUR
KGM;Large dozers;D9;ED515;40070;2014;9;542;HUR
KGM;Large dozers;D9;ED515;40070;2014;10;483;HUR
KGM;Large dozers;D9;ED515;40070;2014;11;302;HUR
KGM;Large dozers;D9;ED515;40070;2014;12;460;HUR
KGM;Large dozers;D9;ED515;40070;2015;1;471;HUR
KGM;Large dozers;D9;ED515;40070;2015;2;398;HUR
KGM;Large dozers;D9;ED515;40070;2015;3;589;HUR
KGM;Large dozers;D9;ED515;40070;2015;4;532;HUR
KGM;Large dozers;D9;ED515;40070;2015;5;575;HUR
KGM;Large dozers;D9;ED515;40070;2015;6;317;HUR
KGM;Large dozers;D9;ED515;40070;2015;7;518;HUR
KGM;Large dozers;D9;ED515;40070;2015;8;317;HUR
KGM;Large dozers;D9;ED515;40070;2015;9;109;HUR
KGM;Large dozers;D9;ED515;40070;2015;10;0;HUR
KGM;Large dozers;D9;ED515;40070;2015;11;0;HUR
KGM;Large dozers;D9;ED515;40070;2015;12;0;HUR
KGM;Large dozers;D9;ED515;40070;2016;1;0;HUR
KGM;Large dozers;D9;ED515;40070;2016;2;0;HUR
KGM;Large dozers;D9;ED515;40070;2016;3;105;HUR
KGM;Large dozers;D9;ED515;40070;2016;4;582;HUR
KGM;Large dozers;D9;ED515;40070;2016;5;565;HUR
KGM;Large dozers;D9;ED515;40070;2016;6;500;HUR
KGM;Large dozers;D9;ED515;40070;2016;7;562;HUR
KGM;Large dozers;D9;ED515;40070;2016;8;554;HUR
KGM;Large dozers;D9;ED515;40070;2016;9;522;HUR
KGM;Large dozers;D9;ED515;40070;2016;10;411;HUR
KGM;Large dozers;D9;ED515;40070;2016;11;391;HUR
KGM;Large dozers;D9;ED515;40070;2016;12;453;HUR
KGM;Large dozers;D9;ED515;40070;2017;1;520;HUR
KGM;Large dozers;D9;ED515;40070;2017;2;454;HUR
KGM;Large dozers;D9;ED515;40070;2017;3;186;HUR
KGM;Large dozers;D9;ED515;40070;2017;4;434;HUR
KGM;Large dozers;D9;ED515;40070;2017;5;517;HUR
KGM;Large dozers;D9;ED515;40070;2017;6;443;HUR
KGM;Large dozers;D9;ED515;40070;2017;7;510;HUR
KGM;Large dozers;D9;ED515;40070;2017;8;458;HUR
KGM;Large dozers;D9;ED515;40070;2017;9;555;HUR
KGM;Large dozers;D9;ED515;40070;2017;10;474;HUR
KGM;Large dozers;D9;ED515;40070;2017;11;503;HUR
KGM;Large dozers;D9;ED515;40070;2017;12;231;HUR
KGM;Large dozers;D9;ED516;37189;2012;1;0;HUR
KGM;Large dozers;D9;ED516;37189;2012;2;0;HUR
KGM;Large dozers;D9;ED516;37189;2012;3;0;HUR
KGM;Large dozers;D9;ED516;37189;2012;4;0;HUR
KGM;Large dozers;D9;ED516;37189;2012;5;0;HUR
KGM;Large dozers;D9;ED516;37189;2012;6;0;HUR
KGM;Large dozers;D9;ED516;37189;2012;7;33;HUR
KGM;Large dozers;D9;ED516;37189;2012;8;210;HUR
KGM;Large dozers;D9;ED516;37189;2012;9;170;HUR
KGM;Large dozers;D9;ED516;37189;2012;10;285;HUR
KGM;Large dozers;D9;ED516;37189;2012;11;400;HUR
